,Abe Fortas,Anthony M. Kennedy,Antonin Scalia,Arthur J. Goldberg,Brett M. Kavanaugh,Byron R. White,Charles E. Whittaker,Clarence Thomas,David H. Souter,Earl Warren,Elena Kagan,Felix Frankfurter,Harold Burton,Harry A. Blackmun,Hugo L. Black,John M. Harlan II,John Paul Stevens,Neil Gorsuch,Potter Stewart,Ruth Bader Ginsburg,Sandra Day O'Connor,Sherman Minton,Sonia Sotomayor,Stanley Reed,Stephen G. Breyer,Thurgood Marshall,Tom C. Clark,Warren E. Burger,William H. Rehnquist,William O. Douglas
1957-04-29,0,0,0,0,0,0,366,0,0,2488,0,10158,765,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
1957-04-30,0,0,0,0,0,0,380,0,0,603,0,11171,573,0,914,0,0,0,0,0,0,0,0,0,0,0,27,0,0,356
1957-05-01,0,0,0,0,0,0,700,0,0,2968,0,3150,114,0,580,0,0,0,0,0,0,0,0,0,0,0,57,0,0,730
1957-05-02,0,0,0,0,0,0,1411,0,0,1579,0,6312,361,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647
1957-05-06,0,0,0,0,0,0,0,0,0,3516,0,11988,146,0,4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-05-13,0,0,0,0,0,0,0,0,0,49,0,11425,88,0,1944,0,0,0,0,0,0,0,0,0,0,0,301,0,0,278
1957-07-08,0,0,0,0,0,0,616,0,0,2888,0,7228,1351,0,1900,0,0,0,0,0,0,0,0,0,0,0,468,0,0,77
1957-11-12,0,0,0,0,0,0,504,0,0,40,0,2841,0,0,743,0,0,0,0,0,0,0,0,0,0,0,330,0,0,259
1957-11-13,0,0,0,0,0,0,0,0,0,18,0,2118,37,0,3149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1957-11-14,0,0,0,0,0,0,1836,0,0,1065,0,4928,124,0,3081,0,0,0,0,0,0,0,0,0,0,0,22,0,0,58
1957-11-18,0,0,0,0,0,0,327,0,0,1035,0,14453,0,0,2376,0,0,0,75,0,0,0,0,0,0,0,0,0,0,290
1957-11-19,0,0,0,0,0,0,36,0,0,881,0,1515,120,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
1957-11-20,0,0,0,0,0,0,44,0,0,953,0,2951,391,0,85,0,0,0,0,0,0,0,0,0,0,0,41,0,0,124
1957-11-21,0,0,0,0,0,0,0,0,0,3634,0,2551,176,0,102,0,0,0,0,0,0,0,0,0,0,0,301,0,0,38
1957-12-09,0,0,0,0,0,0,0,0,0,3579,0,13280,324,0,4945,0,0,0,900,0,0,0,0,0,0,0,0,0,0,92
1957-12-10,0,0,0,0,0,0,139,0,0,2282,0,6993,0,0,3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1957-12-11,0,0,0,0,0,0,634,0,0,238,0,3985,302,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1957-12-12,0,0,0,0,0,0,326,0,0,5363,0,2652,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1958-01-06,0,0,0,0,0,0,2493,0,0,746,0,5325,0,0,5207,0,0,0,0,0,0,0,0,0,0,0,158,0,0,14
1958-01-07,0,0,0,0,0,0,1137,0,0,439,0,10654,0,0,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
1958-01-08,0,0,0,0,0,0,80,0,0,3230,0,7658,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,776,0,0,214
1958-01-09,0,0,0,0,0,0,143,0,0,122,0,4163,399,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
1958-01-13,0,0,0,0,0,0,3839,0,0,604,0,10284,0,0,3741,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
1958-01-14,0,0,0,0,0,0,0,0,0,539,0,3777,324,0,51,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,664
